"species","latitude","longitude","source"
"Dactylorhiza sambucina",46.319692674,8.0100460108,"inat"
"Dactylorhiza sambucina",46.3191666667,7.843055,"inat"
"Dactylorhiza sambucina",46.5490284394,7.1958665524,"inat"
"Dactylorhiza sambucina",46.5490284394,7.1958665524,"inat"
"Dactylorhiza sambucina",46.4633685673,6.1139207253,"inat"
"Dactylorhiza sambucina",46.5519816508,7.2559102888,"inat"
"Dactylorhiza sambucina",46.1898583333,7.1531055556,"inat"
"Dactylorhiza sambucina",46.1948166667,7.1404472222,"inat"
"Dactylorhiza sambucina",46.2236202024,8.017184101,"inat"
"Dactylorhiza sambucina",46.3361133333,7.656725,"inat"
"Dactylorhiza sambucina",46.367575,8.2214273,"inat"
"Dactylorhiza sambucina",46.3676753088,7.0266580567,"inat"
"Dactylorhiza sambucina",46.3674277778,7.0266444444,"inat"
"Dactylorhiza sambucina",46.1225971667,7.0706555,"inat"
"Dactylorhiza sambucina",46.1222111667,7.0718695,"inat"
"Dactylorhiza sambucina",46.1617083639,7.9229090556,"inat"
"Dactylorhiza sambucina",46.2068137,7.0132252,"inat"
"Dactylorhiza sambucina",46.43015,6.1275528333,"inat"
"Dactylorhiza sambucina",46.43013,6.1274471667,"inat"
"Dactylorhiza sambucina",46.429725,6.1168388333,"inat"
"Dactylorhiza sambucina",46.12499,7.079582,"inat"
"Dactylorhiza sambucina",46.12498991,7.07958385,"inat"
"Dactylorhiza sambucina",46.12498982,7.0795857,"inat"
"Dactylorhiza sambucina",46.12498973,7.0795875501,"inat"
"Dactylorhiza sambucina",46.12498941,7.07959402,"inat"
"Dactylorhiza sambucina",46.12498932,7.07959586,"inat"
"Dactylorhiza sambucina",46.12498909,7.0796004801,"inat"
"Dactylorhiza sambucina",46.124989,7.07960233,"inat"
"Dactylorhiza sambucina",46.12498891,7.07960418,"inat"
"Dactylorhiza sambucina",46.12498814,7.07961989,"inat"
"Dactylorhiza sambucina",46.12498882,7.07960603,"inat"
"Dactylorhiza sambucina",46.12498855,7.0796115799,"inat"
"Dactylorhiza sambucina",46.1249882699,7.07961712,"inat"
"Dactylorhiza sambucina",46.12498809,7.07962082,"inat"
"Dactylorhiza sambucina",46.1250735,7.080298,"inat"
"Dactylorhiza sambucina",46.12507651,7.08031217,"inat"
"Dactylorhiza sambucina",46.12507686,7.08031383,"inat"
"Dactylorhiza sambucina",46.12508094,7.0803330001,"inat"
"Dactylorhiza sambucina",46.1250840999,7.0803410001,"inat"
"Dactylorhiza sambucina",46.1250855,7.080343,"inat"
"Dactylorhiza sambucina",46.1250861999,7.080344,"inat"
"Dactylorhiza sambucina",46.1250869,7.080345,"inat"
"Dactylorhiza sambucina",46.1250876,7.080346,"inat"
"Dactylorhiza sambucina",46.1250883,7.080347,"inat"
"Dactylorhiza sambucina",46.1250885,7.0803495999,"inat"
"Dactylorhiza sambucina",46.1250875,7.0803528001,"inat"
"Dactylorhiza sambucina",46.125094,7.08041289,"inat"
"Dactylorhiza sambucina",46.1252267,7.08177636,"inat"
"Dactylorhiza sambucina",46.12522636,7.0817833599,"inat"
